"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Side Dishes"|"4 Biscuit Bites with Jam"|"4.00"|"2 reviews 1 photo"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Side Dishes"|"Apple Raisin Slaw"|"4.00"|"5 reviews 1 photo"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Side Dishes"|"Fruit Salad"|"4.00"|"3 reviews 2 photos"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Side Dishes"|"Green Salad"|"4.00"|"2 reviews 1 photo"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Side Dishes"|"Roasted vegetables to share"|"8.00"|""
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Grandmother Biscuits includes a side of Apple Raisin Slaw. No Substitutions Please"|"The Charlotte"|""|""
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Grandmother Biscuits includes a side of Apple Raisin Slaw. No Substitutions Please"|"The Mary Alice"|""|"1 review 1 photo"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Grandmother Biscuits includes a side of Apple Raisin Slaw. No Substitutions Please"|"The Ruby"|""|""
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Grandmother Biscuits includes a side of Apple Raisin Slaw. No Substitutions Please"|"The Moselle"|""|"17 reviews 16 photos"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Grandmother Biscuits includes a side of Apple Raisin Slaw. No Substitutions Please"|"The Nettie"|""|"29 reviews 19 photos"
"BeeHive Oven Biscuit Cafe"|"efnf76l4Tg0UHEtj1lH8hw"|"Grandmother Biscuits includes a side of Apple Raisin Slaw. No Substitutions Please"|"The Sandra"|""|"7 reviews 3 photos"
"Juliana’s Pizza"|"ysqgdbSrezXgVwER2kQWKA"|"Soups & Salads Add warm grilled chicken to any salad $5"|"Patsy's Housemade Soup"|"6.00"|"25 reviews 4 photos"
